ra,dec,parallax,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,radial_velocity,distance_gspphot
274.3430401829653,-18.93720139336789,,19.466328,,,,
274.3931624411367,-18.92825603001166,,20.84351,22.765314,20.385807,,
274.3783423885666,-18.93391361717532,1.765076250646701,19.430977,,,,
274.34351411839776,-18.937141801998294,0.42585860759663025,19.117537,,,,
274.38742020789056,-18.92589460060743,,20.75202,22.10858,19.616497,,
274.36502336083646,-18.951830989654653,0.39445418208085087,17.951801,18.800173,16.989065,,736.1903
274.3528474192799,-18.95822114853,0.8090854807583271,19.1572,20.081223,18.273947,,
274.35706736519296,-18.955984453003722,0.2013487545801265,16.545988,17.944435,15.327579,,1850.3124
274.3620979134481,-18.955174277562776,0.2922655584357639,15.688379,17.07358,14.540303,,
274.3632903499067,-18.953787457969785,0.5440121473170414,17.638435,18.41928,16.818506,,860.2122
274.3416305534355,-18.946996126585482,,20.569193,21.168953,18.72316,,
274.3737334342957,-18.927047537839186,0.2836465145352747,19.145515,,,,
274.36421630334763,-18.950222707520247,0.1613689902000187,19.572279,20.797028,18.66856,,
274.3636524355662,-18.95022063136682,-0.6402854894912251,20.074142,,,,
274.35671695683203,-18.956056513993286,-0.4664337552575544,19.300869,,,,
274.35863245914845,-18.95343583543167,0.3260450176995065,18.037558,19.355505,16.953764,,838.7635
274.3620573285801,-18.95011534557832,0.1219079052254878,19.254559,20.423307,18.489529,,
274.35657315689775,-18.953383994023863,0.21131443348655854,19.249603,20.429407,18.404436,,
274.3605605968813,-18.94944700653009,1.3248739430028371,19.478447,20.566866,18.637796,,
274.3586191650424,-18.954498795285684,-0.49085122990883767,20.268051,22.073421,18.857391,,
274.3622377392929,-18.948958243437676,,20.712582,22.955956,19.002249,,
274.3622389760749,-18.949315811724436,,20.720097,22.221828,19.326454,,
274.36115517571034,-18.951530548287224,,20.680607,22.051352,20.100958,,
274.3587025073741,-18.952522856889672,-0.7774570631252711,20.606398,23.077654,19.188715,,
274.36019394871465,-18.95585296878182,0.705952788435106,17.263762,17.986965,16.23512,,783.2521
274.36035941749054,-18.955288628467155,0.35415630440889206,18.377373,,,,
274.3578132945549,-18.953937957577637,1.6092963480350568,20.06944,21.118685,19.021421,,
274.3663911911188,-18.952197412672735,,20.473795,21.680077,19.827744,,
274.36462509811605,-18.94859994416889,0.6165992302982378,18.778023,19.601706,17.359798,,
274.36816910790577,-18.94924593807698,0.35360567905398715,14.591107,15.087271,13.908281,,
