mg,mb,mr,parallax
19.61544,19.971241,18.967777,-0.33103959862109233
19.84979,20.185947,19.265743,-0.7194917069666977
20.058685,20.639498,19.29856,0.41148510130283034
18.271084,,,
21.048937,,,
15.347679,15.8767,14.624149,1.2586644703227203
20.316303,20.673386,19.638496,0.9022269868901777
19.091846,,,0.6445113745273663
18.661642,19.365704,17.809122,-0.004521700477837686
20.902927,21.113638,20.42682,
18.885433,19.359373,18.258314,-0.04608746815122419
20.168604,20.778776,19.382837,-0.7254052265404161
18.39868,18.939604,17.679506,0.4230703101978916
20.094576,20.64692,19.30256,0.12363462867732386
21.023027,23.087435,19.96569,
20.719797,21.159807,19.883383,-0.5508778857058185
20.718637,20.823996,19.0047,3.547168600878296
21.1558,20.710289,20.368559,
20.671335,21.331106,18.988895,
18.264977,18.775427,17.604906,0.14967317713551523
20.971727,21.26356,20.467648,
20.695553,21.30309,20.142284,0.4257468306058057
20.010668,20.509321,19.359972,-0.2036003400775633
21.227907,21.233984,20.608202,
19.859543,20.376934,19.232012,-0.3322820753173932
18.446352,18.952415,17.811037,0.5663875859621927
19.53439,20.63668,18.462591,0.33630393137019254
20.768536,21.228884,20.166473,0.15939127790028138
19.330084,19.74174,18.730701,0.21126959975503726
17.240442,17.72416,16.605963,0.3434010358535495
18.805244,19.286896,18.169888,-0.3511758500672556
19.9758,20.687643,19.34682,-0.18451313070199185
19.88255,20.50808,19.24445,-0.585166616492836
20.298306,21.0203,19.420101,-0.7065916114411402
19.115705,19.666374,18.434208,0.04137279395073079
20.804058,21.2402,20.022465,0.06263804246375125
20.564808,21.590002,19.265568,-1.154216157374776
19.69628,,,-0.026079428558250784
14.617509,15.318649,13.806098,0.2767551999433866
18.864683,18.99124,17.817554,0.0354052694926756
18.581806,19.143522,17.879812,0.17134552702001962
20.12299,20.758717,19.411354,1.1363280260022284
18.969038,19.803295,18.113508,0.917098313957519
19.61659,19.986063,19.093555,0.07363119242145497
19.000772,19.445421,18.35077,0.13275150434889327
17.70884,18.328749,16.985573,0.25845426487888806
20.738905,21.440374,19.498884,
11.782958,12.206366,11.179031,3.1725732665621122
13.121004,13.477784,12.586667,1.5028744018844633
