mg,mb,mr,parallax
10.926618,11.274038,10.4084835,3.8428019836248923
17.708,18.73145,16.67708,2.0012036463468745
12.342476,12.862085,11.663482,0.4751809721036203
14.865593,15.3154545,14.25707,0.54929458082714
17.844278,18.831577,16.867138,1.2770680070239186
15.467915,15.885129,14.879342,1.0103500332484057
17.963417,19.052717,16.934874,1.1574659920691994
16.577978,17.837109,15.476718,3.2786576760998476
15.811644,16.160677,15.291809,0.4384256689470625
14.9560795,15.244344,14.507658,0.43543619563358793
16.650467,17.084383,16.061161,0.5148880372044548
15.399159,15.732351,14.898441,0.4113729413924775
16.396156,16.820948,15.813263,0.6570690765276953
14.87494,15.291199,14.289981,1.4240741222574804
13.5829525,13.916498,13.081035,1.4975769741939275
16.090492,16.487595,15.520933,0.5109559284476375
15.9162035,16.357506,15.318365,0.5291326419958338
15.8297825,16.211452,15.279662,0.7097460480573011
15.146055,15.427537,14.697101,0.4638692098384366
16.067793,16.464935,15.504415,0.5115419349119578
16.712692,17.510136,15.8475485,1.3477642555931033
16.399723,16.829254,15.821895,0.5355512463117221
17.972622,19.306292,16.853304,2.0518242598806267
16.47398,17.010921,15.779302,0.6832998076014384
16.170057,16.573536,15.607918,0.4395510661955267
12.144729,12.771193,11.392536,0.5454364426678121
16.12753,16.701754,15.409403,0.9527249281584118
16.077936,16.589495,15.41724,0.8863004015074055
14.530682,14.841987,14.051186,0.4641482615785421
17.190586,17.879913,16.402113,0.77076410000592
15.4317045,16.003273,14.712515,1.6939147029896513
16.660612,17.324583,15.873654,1.0341259107680816
10.419534,11.173244,9.579933,0.5811698181993971
16.860586,17.321339,16.246325,0.5263195284275809
15.921556,16.302248,15.379062,0.5036661058856892
16.860003,17.327656,16.232637,0.5115549600662426
18.393484,19.479235,17.37844,1.3583078413027085
16.59633,17.089127,15.952189,0.7553822622325245
18.290323,19.524836,17.238369,2.206015208815275
17.872261,19.015182,16.854338,1.4381392217222797
15.216856,15.566041,14.700673,0.5468921747504204
15.975269,16.409643,15.372737,0.818465602162314
16.425974,16.830269,15.86025,0.5332248518693825
15.569201,16.04681,14.938842,0.9800801767573337
15.549785,15.925027,14.998634,0.5234174240995466
15.798805,16.693605,14.871196,2.845315632615032
12.780166,13.064906,12.332841,0.952781960053605
14.912133,15.257489,14.383598,0.5722885220837017
16.180843,16.668882,15.534359,0.8408841832994715
14.745967,15.299959,14.041908,0.3585564140084831
16.237398,16.629843,15.690592,0.5501272310625317
15.804146,16.127731,15.308795,0.5171496352751039
16.99189,17.41435,16.242334,0.6118633143101027
17.045864,17.511696,16.363995,0.5953222981786035
16.382168,16.800001,15.802677,0.6138413651184644
16.45302,16.865732,15.880302,0.5499443904467882
13.879643,14.2014885,13.394268,1.0576749922586977
13.658813,13.911822,13.240098,0.7005099453473499
16.380281,17.533499,15.312816,2.4168368153828244
15.864394,16.223207,15.323706,0.5582430900657247
15.427418,15.799315,14.882216,0.8057611291191423
8.488513,8.954444,7.856298,3.247928791740986
15.404551,15.763022,14.8794,0.5405800693912545
16.90045,17.772419,15.872188,1.0426453428505638
14.799696,15.085495,14.3496685,0.46865687910302395
15.305998,15.659819,14.780713,0.4524028481194453
16.891466,17.385014,16.237144,0.5291536085270847
16.662933,18.068129,15.503505,3.9755627696414795
16.547783,17.263638,15.744193,1.208872776819398
15.078387,15.531388,14.455532,1.4462956977951948
15.208625,15.557401,14.697322,0.5191028790825964
16.208885,16.665863,15.594062,0.5298689874558794
16.738682,17.59598,15.825357,1.8191136272922015
8.846116,8.902361,8.713038,2.8208515975563304
16.148212,16.561586,15.578906,0.5566009962900184
14.769629,15.16983,14.202429,0.543128069556757
16.325386,16.726902,15.760059,0.5702451921049436
15.569446,15.934592,15.035387,0.5446921495856285
14.309411,14.844918,13.624911,0.496002060204507
14.576918,14.95959,14.024496,1.1504115842337297
16.904083,18.013998,15.723868,2.5308500486445897
